,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,Expenditure_on_education,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors,log_child_mortality_rate,log_Expenditure_on_health,log_income,log_visitor_per_hectare
42,6.649365425,10.52471447,0.44062534,0.93709743,71.97216034,-0.160851866,0.3207375,5.5,1.2,63.2,60.0,11.5,9.899999619,3524.0,12.3,81980000,1.4586150227,8.4551049991,10.6408190686,5.00943172076
43,3.97205925,9.775367737,0.364717662,0.736096144,54.24062729,-0.222380593,0.4218,3.8,9.4,56.4,40.95390625,8.3,20.29999924,2781.0,8.2,0,4.05525717351,5.83773044717,9.09952053687,-2.30258509299
44,4.254445553,8.810216904,0.610841632,0.532586455,64.95158386,-0.240652859,0.4053,2.0,3.3,69.4,29.2,7.71,15.0,2731.0,3.2,4428000,2.66722820658,5.79301360838,7.96311205898,4.15608853788
45,6.702362061,10.66977024,0.516928196,0.926406622,70.90592957,0.058252748,0.315416667,4.9,0.8,71.0,65.5,11.18,5.400000095,3539.0,9.2,30411000,1.38629436112,8.46674164792,10.7208194564,4.46989479016
46,5.057261944,8.205010414,0.576750815,0.68511188,53.10902023,0.049346812,0.4277,7.9,1.7,60.7,12.2,1.64,3.599999905,3003.0,3.1,903000,4.23700086262,4.36944785247,7.30518821539,1.40328249345
47,5.096354008,10.11494637,0.126218989,0.81214112,70.67931366,-0.312889546,0.348866667,4.0,1.5,55.4,110.3,8.2,24.20000076,3433.0,3.8,15518000,1.54756250872,7.62510714824,10.0424665798,4.79154931303
48,5.855717182,8.832767487,0.502455831,0.802148998,61.35364151,0.018430019,0.53975,3.0,33.5,60.9,40.95390625,2.02,2.900000095,2416.0,8.7,1305000,3.46885603014,5.3375380797,7.94093976233,2.50781323831
49,3.651554823,7.087982178,0.557172477,0.542295277,48.69386292,0.041929055,0.386966667,2.5,8.7,50.8,9.9,0.22,1.700000048,2553.0,4.7,96000,4.64439089914,3.25809653802,6.02344759296,-0.711945590691
50,4.413475037,7.368271351,0.367326528,0.74866271,52.02800369,0.296056956,0.60135,4.43070866142,10.0,50.7,40.95390625,5.68,7.0,2084.0,2.8,349000,4.32015123096,4.35670882669,6.55819780281,2.54657230758
51,4.602218151,8.422512054,0.26335296,0.779194891,62.92326736,-0.001492855,0.563215385,5.5,92.7,58.8,20.5,3.11,4.0,2651.0,5.5,895000,3.11794990628,5.45532111536,7.62608275807,2.09173164773
